home_score,away_score,first_goal,home_team,away_team
1,0,home,CABJ,VEL
2,0,home,VEL,ALDO
0,1,away,RAC,ROS
0,1,away,GLP,DYJ
2,0,home,SL,COL
1,1,home,GCM,SMSJ
2,3,away,NOB,IND
0,1,away,BAN,TEMP
0,1,away,QUI,LAN
1,0,home,USF,HUR
3,1,home,CABJ,OBB
0,1,away,ARS,EST
3,1,home,BEL,NCHI
1,4,away,RAF,BAN
1,0,home,HUR,ARS
2,1,home,VEL,CRU
1,1,away,SMSJ,GLP
0,1,away,ALDO,NOB
1,1,away,IND,SARM
2,2,home,NCHI,USF
2,2,home,CARP,QUI
1,1,home,COL,ARGJ
0,2,away,TEMP,CABJ
1,2,home,DYJ,SL
1,1,away,ARS,NCHI
2,1,home,GCM,HUR
1,0,home,TIG,OBB
0,1,away,CRU,ROS
1,1,away,USF,LAN
1,2,away,QUI,IND
1,2,away,SL,SMSJ
1,3,away,GLP,EST
1,0,home,CABJ,RAF
1,0,home,ARGJ,DYJ
2,1,home,RAC,TEMP
1,2,away,BEL,CARP
2,2,home,SARM,ALDO
1,1,away,HUR,GLP
1,1,away,RAF,RAC
0,2,away,NCHI,GCM
1,3,home,OBB,ROS
1,1,away,ALDO,QUI
1,2,home,IND,BEL
2,0,home,NOB,CRU
1,0,home,DYJ,BAN
1,1,away,VEL,SARM
2,2,home,CARP,USF
1,1,away,COL,CABJ
1,1,home,TEMP,TIG
0,2,away,EST,SL
4,1,home,RAC,COL
2,1,home,CABJ,DYJ
1,1,away,USF,IND
1,2,away,SARM,NOB
2,1,home,QUI,VEL
2,2,away,ARGJ,EST
3,1,away,SL,HUR
2,1,home,TIG,RAF
1,5,home,GCM,LAN
1,0,home,ROS,TEMP
0,1,away,BEL,ALDO
3,3,away,ARS,CARP
2,1,home,GLP,NCHI
1,1,home,NOB,QUI
2,0,home,LAN,GLP
0,1,away,COL,TIG
1,2,home,VEL,BEL
4,0,home,IND,ARS
2,1,away,SARM,CRU
1,1,home,RAF,ROS
1,1,away,DYJ,RAC
1,2,home,EST,BAN
1,0,home,CARP,GCM
1,1,away,SMSJ,CABJ
0,1,away,NCHI,SL
3,3,away,ALDO,USF
0,4,away,QUI,SARM
1,1,away,ROS,COL
1,0,home,BAN,HUR
2,2,away,GCM,IND
4,0,home,SL,LAN
1,0,home,CRU,TEMP
2,0,home,BEL,NOB
2,0,home,RAC,SMSJ
3,0,home,CABJ,EST
1,0,home,USF,VEL
2,3,away,GLP,CARP
1,1,away,ARGJ,NCHI
1,3,home,SARM,BEL
1,1,home,EST,RAC
1,1,home,RAF,TEMP
3,3,away,DYJ,ROS
2,0,home,ALDO,GCM
1,1,home,IND,GLP
1,0,home,CARP,SL
0,1,away,LAN,ARGJ
0,2,away,HUR,CABJ
3,1,home,QUI,CRU
3,1,away,SMSJ,TIG
1,2,away,NCHI,BAN
2,0,home,NOB,USF
1,1,home,CRU,RAF
2,1,home,TEMP,COL
2,2,away,GCM,VEL
1,0,home,SL,IND
1,2,away,BAN,LAN
0,1,away,USF,SARM
1,2,away,ARGJ,CARP
3,0,home,ARS,NOB
2,0,home,TIG,EST
2,1,home,BEL,QUI
2,0,home,SARM,ARS
0,1,away,DYJ,TEMP
0,1,away,VEL,GLP
1,0,home,BEL,CRU
1,0,home,ALDO,SL
4,1,home,CARP,BAN
2,0,home,SMSJ,OBB
1,3,home,QUI,USF
2,1,home,COL,RAF
2,0,home,NOB,GCM
0,3,away,ARS,ALDO
1,0,home,GCM,SARM
1,0,home,SL,VEL
0,1,away,ARGJ,ALDO
2,0,home,RAC,LAN
1,1,away,ROS,HUR
2,1,home,RAF,DYJ
1,1,away,BAN,IND
2,0,home,CABJ,CARP
1,1,away,USF,BEL
0,1,away,ARS,QUI
0,1,away,TEMP,SMSJ
0,2,away,NCHI,ROS
1,1,home,LAN,TIG
2,1,away,EST,TEMP
1,3,home,HUR,OBB
5,2,home,USF,CRU
1,1,home,NOB,SL
0,1,away,VEL,ARGJ
0,3,away,ALDO,BAN
2,0,home,BEL,ARS
1,1,away,SMSJ,RAF
2,3,home,DYJ,COL
3,1,home,CRU,DYJ
1,1,away,ARS,USF
1,1,away,ROS,LAN
2,2,home,COL,SMSJ
3,0,home,SL,SARM
1,2,home,RAF,EST
1,0,home,RAC,IND
2,1,home,ARGJ,NOB
0,3,away,CABJ,ALDO
0,2,away,NCHI,TEMP
0,1,away,BEL,GLP
1,0,home,IND,TIG
1,1,home,NOB,BAN
1,0,home,USF,GCM
1,2,away,ALDO,RAC
2,0,home,CARP,ROS
2,0,home,VEL,CABJ
1,0,home,ARS,CRU
3,2,home,HUR,RAF
2,0,home,LAN,OBB
5,2,home,GLP,USF
0,2,away,ARGJ,QUI
1,1,home,COL,HUR
1,1,away,TEMP,LAN
3,1,home,CRU,SMSJ
1,1,away,ROS,IND
2,0,home,RAF,NCHI
3,1,home,RAC,VEL
4,0,home,CABJ,NOB
1,1,home,OBB,CARP
2,1,away,TIG,ALDO
0,1,away,DYJ,EST
0,1,away,ARS,GLP
2,1,away,BEL,ARGJ
1,1,home,CARP,TEMP
0,1,away,QUI,BAN
1,1,away,USF,SL
3,0,home,LAN,RAF
3,1,home,IND,OBB
3,0,home,NOB,RAC
3,0,home,GCM,CRU
0,1,away,SARM,CABJ
