id_persona;nombre_apellido;x_promedio;y_promedio;pases;33965;532;34389;62105;8725;34388;7202;40276;8377;30886;2967
33965;Otamendi;30.74;7.93;28;0;2;3;7;4;4;1;0;2;1;3
532;Mascherano;46.4;-1.49;41;2;0;5;5;1;7;3;6;5;4;1
34389;Romero;8.89;0.43;7;4;0;0;1;0;0;0;0;0;0;1
62105;Funes Mori;36.71;-9.45;23;2;4;3;0;1;3;2;5;1;0;2
8725;Mercado;50.35;18.53;17;0;2;1;1;0;1;3;0;6;3;0
34388;Banega;60.91;-4.55;53;2;4;0;3;3;0;10;10;8;4;4
7202;Di Maria;69.98;-6.8;29;1;5;0;3;1;11;0;3;1;2;2
40276;Rojo;65.61;-21.25;25;0;1;0;3;0;6;4;0;0;5;3
8377;Fernandez;55.38;11.14;36;9;4;0;2;5;2;5;0;0;4;3
30886;Gaitan;67.52;8.67;24;0;5;1;0;3;4;2;1;5;0;2
2967;Higuain;69.93;4.08;12;0;1;0;0;1;5;2;1;1;1;0
