id_persona;nombre_apellido;x_promedio;y_promedio;pases;3066;87508;100761;57549;1118;17159;100769;51413;25962;3436;54702;xg
3066;Barovero;19.7;3.9;4;0;1;0;0;1;0;0;2;0;0;0;0
87508;Balanta;38.4;-12;33;1;0;2;4;9;4;5;1;2;4;0;0.3
100761;Mammana;42.5;14.1;18;0;3;0;1;3;4;0;6;0;0;1;0
57549;Domingo;52.7;-1;45;0;6;1;0;4;10;2;7;1;6;5;0
1118;Ponzio;54.9;7.6;35;2;1;1;1;0;4;1;16;0;5;1;0.14
17159;Vangioni;58.5;-22.2;31;0;7;0;3;3;0;3;0;4;3;1;0.09
100769;Driussi;68.1;-2.5;20;0;0;1;3;1;3;0;6;2;3;0;0.67
51413;Mayada;70.4;21.4;51;0;0;3;9;6;0;5;0;2;15;5;0.25
25962;Alonso;74.5;-3.5;12;0;0;0;2;1;1;0;2;0;3;0;0.5
3436;D'Alessandro;78.8;9;35;0;0;1;5;4;3;5;7;2;0;6;0.32
54702;Mora;91.5;7.7;6;0;1;0;0;0;0;1;1;2;1;0;1.01
