id_persona;nombre_apellido;x_promedio;y_promedio;pases;144501;100761;100765;173039;74902;672;32236;113690;51;71209;77919;xg
144501;Batalla;12.5;0;8;0;4;1;0;1;0;0;0;0;0;0;0
100761;Mammana;40.1;2.5;52;3;0;12;5;6;7;2;0;1;1;1;0
100765;Vega;51.1;-16.3;44;0;6;0;0;8;10;0;3;2;2;9;0.73
173039;Carreras;56.3;23.1;7;0;2;0;0;0;0;3;1;1;0;0;0
74902;Arzura;57.1;2.9;49;1;8;6;1;0;13;3;1;4;0;2;0.09
672;Gonzalez;61.4;-4.2;54;0;0;6;0;6;0;3;4;14;6;6;0.35
32236;Bertolo;63.7;10;16;0;3;0;3;2;1;0;0;1;2;3;0.31
113690;Olivera;63.8;-18.7;17;0;1;3;0;2;2;0;0;1;0;8;0
51;Pisculichi;68.1;-3.5;21;0;0;5;1;0;2;1;1;0;1;8;0.4
71209;Alario;76.3;5.5;6;0;0;0;1;1;0;2;0;1;0;1;0
77919;Martinez;78.1;-19;25;0;2;2;1;0;4;1;3;3;2;0;0.52
