home_name,away_name,home_goals,away_goals,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_penalties,away_penalties
SARM,ARS,1,0,18,8,6,3,44,56,13,15,3,1,0,1,0,0
GCM,HUR,1,0,10,9,3,4,39,61,20,14,3,4,0,0,0,0
GLP,VEL,2,0,7,9,4,2,33,67,15,22,2,2,1,1,0,0
ROS,DYJ,0,0,20,3,6,1,64,36,18,21,1,3,0,0,0,0
RAC,TDC,1,1,9,6,2,1,55,45,17,19,2,2,0,0,0,0
TUC,RAF,1,0,8,7,2,4,55,45,12,19,2,1,1,0,0,0
SL,SMSJ,2,2,14,11,5,4,59,41,19,15,1,4,0,0,0,1
TIG,EST,0,3,13,12,4,7,38,62,13,15,2,1,0,0,0,0
QUI,NOB,0,1,10,12,4,5,48,52,21,22,5,3,0,1,0,1
BEL,IND,0,1,12,10,1,1,41,59,25,11,3,2,0,0,0,0
USF,OBB,1,0,4,2,1,1,45,55,15,16,4,4,0,0,0,0
CARP,BAN,4,1,11,6,7,2,71,29,14,17,0,3,0,0,0,0
LAN,CABJ,1,0,10,14,3,3,50,50,14,19,1,1,0,0,0,0
ALDO,COL,0,2,11,10,2,3,49,51,18,15,2,1,0,0,0,0
TEMP,CAP,1,0,11,14,4,3,46,54,16,11,4,3,0,0,0,0
CAP,GLP,0,1,19,8,11,3,65,35,16,9,0,1,0,0,0,0
HUR,QUI,1,1,13,15,2,3,62,38,15,17,2,2,0,0,0,0
OBB,LAN,0,0,9,5,2,1,35,65,18,13,2,1,0,0,0,0
BAN,COL,0,0,10,11,1,5,42,58,17,19,2,3,0,0,0,0
SMSJ,RAC,0,2,15,14,3,5,62,38,15,11,2,1,0,0,0,0
USF,ALDO,0,0,10,7,2,3,54,46,11,16,1,3,1,0,0,0
DYJ,SL,0,2,16,10,4,4,65,35,15,16,4,3,0,0,0,0
IND,GCM,2,0,14,8,4,1,57,43,14,19,2,3,0,0,0,0
NOB,TIG,1,0,16,17,9,5,53,47,11,15,2,3,0,0,0,1
VEL,ROS,2,0,11,10,5,3,36,64,23,18,3,4,0,1,0,0
EST,SARM,1,0,11,9,5,5,65,35,10,16,2,2,0,0,0,0
CABJ,BEL,3,0,13,6,7,1,48,52,9,25,1,4,1,1,0,0
TDC,CARP,0,1,9,11,3,6,38,62,21,12,0,2,2,0,0,0
ARS,TUC,1,3,15,19,3,7,53,47,11,14,2,1,0,0,0,2
RAF,TEMP,1,0,10,11,5,4,44,56,19,11,2,4,0,0,0,0
COL,TDC,1,0,12,9,3,3,56,44,16,18,3,1,0,1,0,1
LAN,USF,0,1,11,9,0,6,75,25,12,15,4,2,0,0,0,0
SL,VEL,2,1,9,6,4,4,54,46,7,15,0,4,0,0,0,0
ROS,CAP,2,1,15,9,6,6,57,43,20,16,1,2,2,2,0,0
ALDO,BAN,1,3,10,14,2,6,47,53,16,6,1,5,2,0,0,0
QUI,IND,1,1,8,10,3,2,30,70,15,14,1,1,0,0,0,0
SARM,NOB,1,1,18,7,6,2,50,50,17,16,2,4,0,0,0,0
TUC,EST,0,2,16,8,5,2,50,50,17,13,2,3,0,0,0,0
TEMP,ARS,1,1,19,14,4,4,54,46,15,15,2,2,0,0,0,0
GCM,CABJ,1,1,15,14,5,1,47,53,17,13,2,1,0,0,0,0
BEL,OBB,0,0,8,4,3,0,59,41,15,16,3,3,0,0,0,0
CARP,SMSJ,1,1,11,10,4,4,61,39,7,13,1,2,0,0,0,0
RAC,DYJ,1,1,13,11,4,5,42,58,16,25,3,3,0,0,0,0
TIG,HUR,1,1,15,8,6,1,47,53,14,14,1,2,0,0,0,0
GLP,RAF,0,1,11,13,3,2,49,51,16,17,0,2,1,0,0,0
OBB,GCM,3,0,11,4,6,0,43,57,8,18,0,4,1,1,0,0
NOB,TUC,3,1,13,18,7,6,48,52,7,12,0,2,0,0,0,1
RAF,ROS,0,0,16,7,2,2,49,51,20,13,3,3,0,0,0,0
VEL,RAC,0,3,11,15,3,5,56,44,16,10,3,0,0,0,0,0
IND,TIG,1,1,18,10,6,4,72,28,6,28,0,5,0,0,1,0
HUR,SARM,0,0,17,8,4,2,64,36,19,20,4,5,0,0,0,0
EST,TEMP,3,0,12,11,5,1,50,50,8,16,2,4,0,0,0,0
USF,BEL,0,2,11,8,1,5,49,51,14,17,4,2,0,0,0,1
TDC,BAN,0,0,13,6,7,3,58,42,13,8,1,2,0,0,0,0
CAP,SL,1,1,12,12,3,3,43,57,18,11,2,1,0,0,0,1
LAN,ALDO,0,0,13,9,1,3,75,25,9,11,1,4,0,0,0,0
CABJ,QUI,4,1,15,11,4,2,69,31,20,14,1,2,0,0,0,0
DYJ,CARP,3,3,14,8,6,5,42,58,22,15,2,3,0,1,0,1
ARS,GLP,2,2,11,7,6,2,55,45,18,14,1,2,1,0,0,0
SMSJ,COL,0,0,15,8,5,1,58,42,11,8,3,1,0,0,0,0
QUI,OBB,2,1,5,11,2,4,44,56,20,7,4,3,0,0,0,0
GCM,USF,2,1,8,13,2,3,52,48,18,21,5,3,0,0,0,0
ROS,ARS,5,0,15,7,10,1,63,37,15,17,2,2,0,2,0,2
ALDO,TDC,2,1,16,21,8,9,35,65,15,8,4,2,0,0,0,1
TEMP,NOB,0,0,12,10,2,3,53,47,18,19,3,1,0,0,0,0
RAC,CAP,2,0,21,11,8,2,58,42,15,12,1,4,0,0,0,0
CARP,VEL,3,0,16,4,6,1,74,26,14,12,2,4,0,1,1,0
SL,RAF,2,1,4,20,3,1,45,55,11,18,2,3,0,0,0,0
BEL,LAN,1,1,5,16,1,3,38,62,11,8,2,2,0,0,0,0
GLP,EST,0,0,8,10,2,2,44,56,21,14,3,1,0,0,0,0
BAN,SMSJ,3,2,19,13,7,3,48,52,10,12,3,1,0,0,0,0
SARM,IND,0,1,14,12,5,3,30,70,20,11,2,5,1,0,0,0
COL,DYJ,1,0,9,12,1,3,53,47,15,11,2,2,0,1,0,0
TIG,CABJ,1,1,9,19,4,5,36,64,16,9,3,1,0,0,0,0
TUC,HUR,0,2,16,6,1,3,69,31,9,15,1,5,0,0,0,0
DYJ,BAN,1,0,11,9,2,4,64,36,14,21,2,5,0,0,0,0
BEL,ALDO,0,0,11,11,2,3,58,42,12,18,1,2,0,0,0,0
VEL,COL,2,1,13,9,8,3,52,48,14,15,1,1,0,0,0,0
RAF,RAC,3,2,14,15,6,6,38,62,19,15,2,2,0,0,0,0
HUR,TEMP,1,2,10,17,4,9,52,48,12,18,1,3,0,0,0,0
EST,ROS,3,2,21,10,9,5,48,52,12,20,1,1,0,1,0,1
SMSJ,TDC,1,3,25,10,7,5,55,45,12,16,1,3,0,0,0,1
IND,TUC,0,2,15,16,2,6,71,29,8,19,1,6,1,0,0,0
LAN,GCM,3,0,9,5,6,2,73,27,7,9,0,2,0,1,1,0
CABJ,SARM,2,0,21,8,7,0,69,31,10,11,2,1,0,0,0,0
OBB,TIG,1,4,13,16,6,6,58,42,14,18,3,6,0,0,1,0
NOB,GLP,1,0,13,10,5,2,68,32,16,14,2,1,0,1,0,0
ARS,SL,1,3,14,13,4,6,35,65,16,10,2,1,0,0,0,0
CAP,CARP,2,1,17,14,7,4,38,62,15,16,4,6,0,1,0,0
USF,QUI,1,1,17,8,4,2,57,43,23,10,4,4,0,0,0,1
SARM,OBB,1,1,15,12,6,6,53,47,12,15,1,1,0,0,0,1
TDC,DYJ,2,0,6,14,3,3,41,59,11,7,2,3,0,0,0,0
QUI,LAN,1,0,9,9,5,4,24,76,17,13,4,3,0,1,0,0
GCM,BEL,2,0,12,12,7,4,47,53,19,14,4,1,0,1,0,0
TEMP,IND,0,1,14,20,5,5,38,62,15,14,1,3,0,0,0,0
COL,CAP,0,1,17,9,2,1,72,28,14,16,3,3,0,0,0,0
RAC,ARS,1,0,20,9,5,1,57,43,11,28,1,4,0,0,0,0
CARP,RAF,1,0,4,8,2,2,68,32,11,24,4,5,0,0,0,0
GLP,HUR,1,0,13,11,3,0,56,44,8,14,2,2,0,0,1,0
ROS,NOB,0,1,15,6,4,1,69,31,16,20,3,3,0,0,0,0
TIG,USF,3,1,9,9,4,3,63,37,12,18,1,3,0,1,0,2
BAN,VEL,1,0,18,9,7,1,45,55,8,22,0,2,0,0,0,0
SL,EST,1,2,11,9,5,3,53,47,12,20,2,5,1,0,0,0
TUC,CABJ,2,2,12,10,4,4,47,53,20,12,1,1,1,0,0,0
ALDO,SMSJ,1,2,19,15,7,8,51,49,17,15,2,5,1,0,0,0
OBB,TUC,2,1,9,13,3,3,43,57,14,16,3,3,0,0,0,0
CAP,BAN,2,0,12,8,4,6,45,55,19,7,1,1,0,0,0,0
VEL,TDC,0,2,13,10,4,6,50,50,9,7,2,1,0,0,0,0
BEL,QUI,0,0,16,7,4,2,60,40,13,16,0,1,0,0,0,0
CABJ,TEMP,4,0,12,11,6,1,55,45,18,7,1,4,0,0,0,0
IND,GLP,0,0,20,3,5,1,72,28,16,11,2,2,0,0,0,0
HUR,ROS,1,1,11,13,3,4,35,65,13,13,2,3,0,0,0,0
EST,RAC,2,1,14,11,7,4,51,49,16,14,1,4,0,0,0,1
LAN,TIG,1,1,19,5,2,3,69,31,10,13,2,4,0,0,0,1
GCM,ALDO,3,1,17,8,10,2,58,42,15,13,0,1,0,0,0,0
NOB,SL,2,2,9,13,6,4,47,53,8,20,2,0,0,0,0,0
RAF,COL,0,2,17,7,8,3,55,45,10,16,5,2,0,0,0,0
ARS,CARP,2,2,9,13,3,7,56,44,26,9,4,2,0,1,0,0
DYJ,SMSJ,0,0,12,15,2,2,68,32,24,12,1,2,0,0,0,0
USF,SARM,1,0,20,15,8,5,53,47,12,10,1,2,0,0,0,0
TEMP,OBB,0,0,11,6,4,2,57,43,9,24,1,2,0,0,0,0
QUI,GCM,1,0,12,9,4,1,37,63,18,15,3,3,0,0,0,0
CARP,EST,1,1,14,11,3,4,58,42,15,13,2,2,0,0,0,1
SARM,LAN,1,2,13,16,4,5,29,71,12,10,2,2,0,0,0,0
COL,ARS,1,0,19,9,5,1,45,55,10,13,3,2,0,0,0,0
RAC,NOB,2,1,9,7,3,1,53,47,8,15,1,2,0,0,0,0
SMSJ,VEL,2,0,7,15,2,3,51,49,12,20,0,4,0,0,1,0
BAN,RAF,1,1,14,10,3,2,58,42,10,25,2,4,0,0,0,1
TIG,BEL,2,1,18,12,7,6,58,42,13,15,0,1,0,0,0,1
SL,HUR,2,0,12,9,6,3,61,39,13,11,2,0,0,1,1,0
TDC,CAP,1,0,15,7,4,1,60,40,12,18,1,5,0,0,0,0
ROS,IND,0,0,10,20,2,5,41,59,19,12,4,2,1,1,0,0
GLP,CABJ,0,3,8,14,0,4,40,60,13,14,4,1,1,0,0,0
ALDO,DYJ,0,0,6,9,1,1,49,51,14,15,4,1,0,0,0,0
TUC,USF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
