player,total_shots,sot,goals,key_passes,assists
Cauteruccio,2.41,1.49,1.03,0.8,0.11
Belluschi,1.79,0.77,0.34,2.22,0.26
Blanco,1.69,0.63,0.32,1.37,0.53
Mussis,0.68,0.2,0,0.49,0.1
P. Díaz,0.49,0.12,0.12,0.86,0.12
Blandi,1.58,0.79,0.68,0.56,0.34
Senesi,0.44,0,0,0.22,0.22
Mas,0.42,0.08,0.08,1,0.08
Caruzzo,0.54,0.32,0,0.21,0
Coloccini,0.78,0,0,0.26,0
Angeleri,0.25,0.12,0,0.37,0.12
Merlini,1.06,0.21,0,1.06,0
Tino Costa,3.4,0.76,0,1.13,0.38
Corujo,0,0,0,0,0
Cerutti,2.08,0.6,0,1.64,0.15
Montoya,0,0,0,0.8,0.4
Ortigoza,0.29,0.2,0,0.39,0
Bergessio,4.4,2,0.8,1.6,0.4
Mercier,0,0,0,0,0
Zalazar,0,0,0,0.47,0
Avila,2.93,0.73,0,0.73,0
