id_persona;nombre_apellido;x_promedio;y_promedio;pases;8725;8903;3436;87508;3066;71209;54702;1118;25962;46432;63477;51413;xg
8725;Mercado;67.54;18.21;43;0;3;10;2;0;1;6;0;3;1;4;13;0.7
8903;Maidana;45.19;7.46;48;15;0;4;15;3;2;0;2;1;0;6;0;0
3436;D'Alessandro;76.82;8.41;60;16;6;0;2;0;0;4;7;3;3;13;6;0.64
87508;Balanta;46.35;-7.94;42;2;10;2;0;3;0;1;6;0;9;9;0;0.14
3066;Barovero;20.19;0.07;15;1;3;1;3;0;0;0;2;0;1;3;1;0
54702;Mora;80.03;3.47;18;2;1;3;0;0;3;0;0;2;1;3;3;0.59
1118;Ponzio;55.32;-0.33;54;7;9;6;1;0;2;5;0;6;8;7;3;0.28
25962;Alonso;86.29;3.57;21;1;0;8;0;0;1;4;2;0;0;2;3;2.4
46432;Casco;61.18;-18.24;46;0;2;8;4;1;0;4;8;3;0;14;2;0.32
63477;Fernandez;71.23;-6.39;55;6;4;11;1;0;0;9;3;2;14;0;5;0.62
51413;Mayada;72.55;16.22;29;6;3;6;1;0;0;0;1;5;1;6;0;1.14
