player,total_shots,sot,goals,key_passes,assists
Tevez,3.14,1.37,0.49,3.04,0.69
Peruzzi,0.29,0.29,0.20,1.28,0.29
Pavón,3.44,1.18,0.59,1.47,0.29
P. Pérez,1.86,0.49,0.00,2.06,0.29
J. Silva,1.28,0.39,0.00,0.69,0.20
Bentancur,1.28,0.10,0.00,1.18,0.20
Benedetto,3.04,1.18,0.69,0.49,0.10
Fabra,0.88,0.39,0.10,0.69,0.10
Centurión,1.57,0.79,0.49,0.88,0.10
Tobio,0.10,0.00,0.00,0.00,0.00
Cubas,0.00,0.00,0.00,0.10,0.00
Vergini,0.10,0.00,0.00,0.10,0.00
S. Pérez,0.10,0.00,0.00,0.10,0.00
Carrizo,0.10,0.00,0.00,0.20,0.00
Insaurralde,0.59,0.20,0.10,0.20,0.00
Bou,1.57,1.08,0.59,0.49,0.00
Gago,0.29,0.00,0.00,0.69,0.00
Zuqui,0.49,0.00,0.00,0.69,0.00
