player,total_shots,sot,goals,key_passes,assists
Driussi,2.8,1.78,0.85,0.93,0
Martínez Quarta,0.25,0,0,0.25,0
Pity Martínez,2.85,1.14,0.19,0.76,0
Nacho Fernández,0.95,0.57,0,1.14,0.1
Mina,0.64,0.27,0.09,0.18,0
Ponzio,0.65,0.09,0,0.09,0
Olivera,0.25,0,0,0.5,0
Moreira,0.23,0.08,0,1.38,0.15
Alario,2.43,0.92,0.5,1,0
D'Alessandro,1.66,0.51,0.26,2.04,0.13
Casco,0.34,0,0,0.86,0
Maidana,0.33,0,0,0.22,0
Mayada,0.17,0.17,0,0.17,0
Mora,1.61,0.61,0,2.42,0.4
Andrade,1.43,0.24,0,1.67,0.48
Arzura,0,0,0,0,0
