player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Luis Adv?ncula,NOB,13,18,1305,199,16,21
Leandro Maciel,LAN,0,2,25,1482,28,10
Mateo Castellano,RAF,7,7,455,1053,14,32
Nicol?s Aguirre,LAN,16,9,774,733,28,10
Lucho Gonz?lez,CARP,6,12,448,1065,20,19
Cristian Villagra,ROS,9,10,719,800,17,15
Rolando Garc?a,USF,21,19,1151,358,24,21
Leandro Vega,CARP,2,6,279,1234,20,19
Pedro Ulloa,SL,3,5,242,1266,23,16
Facundo Pereyra,RAC,13,14,463,1043,29,26
Bruno Uribarri,RAF,5,14,445,1063,14,32
Mario Paglialunga,OBB,3,7,277,1234,11,20
Braian Romero,ARGJ,9,22,1016,487,11,26
Juan Martinez Trejo,IND,1,0,58,1441,22,12
Eugenio Isnaldo,DYJ,16,10,935,587,23,16
Nicolas Pelaitay,SMSJ,4,2,176,1349,22,20
Dami?n Batallini,ARGJ,9,15,845,658,11,26
Exequiel Palacios,CARP,0,0,31,1482,20,19
Jose D'Angelo,GLP,0,2,43,1455,18,19
Sebastian Romero,QUI,14,21,868,636,21,31
Luis Garnier,COL,1,3,29,1474,21,31
Damian Musto,ROS,14,10,1121,398,17,15
Israel Coll,SARM,2,2,80,1431,10,17
Luciano Perdomo,GLP,9,5,492,1006,18,19
Ricardo Noir,RAC,19,21,609,897,29,26
Iv?n Bella,VEL,0,2,93,1416,19,19
Mariano Pavone,VEL,13,9,864,645,19,19
Mat?as Escudero,SMSJ,10,8,766,759,22,20
German Mandarino,HUR,0,0,13,1504,21,15
Luis Luis Olivera Moreira,CARP,0,0,63,1450,20,19
Sergio Sagarzazu,SMSJ,2,4,56,1469,22,20
Marcelo Barovero,CARP,18,15,1224,289,20,19
Rodrigo Colombo,RAF,5,19,727,781,14,32
N?stor Moiraghi,OBB,10,19,1412,99,11,20
Santiago Garcia,GCM,24,12,1178,329,27,14
Lucas Alario,CARP,15,10,992,521,20,19
Mat?as S?nchez,TEMP,14,21,1388,123,14,21
Gonzalo Escobar,TEMP,2,2,187,1324,14,21
Maximiliano Gonz?lez,ROS,1,2,112,1407,17,15
Jorge Correa,VEL,12,11,510,999,19,19
Alan Alegre,QUI,14,24,1015,489,21,31
Enzo Trinidad,BAN,3,0,120,1388,15,20
Sebasti?n D?Angelo,NOB,3,9,331,1173,16,21
Germ?n Denis,IND,10,8,771,728,22,12
Luciano Abecasis,GCM,26,14,1403,104,27,14
Jorge Broun,COL,21,31,1503,0,21,31
Franco Costa,ARS,1,1,54,1450,21,14
Gast?n Del Castillo,IND,2,0,39,1460,22,12
Federico Gonz?lez,TIG,13,13,888,619,21,17
Emiliano Ag?ero,SMSJ,0,0,15,1510,22,20
Fernando Redondo Solari,TIG,1,0,22,1485,21,17
Maximiliano Fornari,SARM,6,10,695,816,10,17
Ram?n Mierez,TIG,2,0,54,1453,21,17
Gustavo G?mez,LAN,27,7,1368,139,28,10
Denis Rodr?guez,NOB,7,9,297,1207,16,21
Gabriel Mercado,CARP,14,8,865,648,20,19
Daniel Gonz?lez,SMSJ,17,14,750,775,22,20
Sebasti?n Sosa,ROS,1,4,379,1140,17,15
Diego Casta?o,TIG,0,0,42,1465,21,17
