player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against,team_goals,ag_team_goals,90m_player_goals,ag_90m_player_goals,90m_team_goals,ag_90m_team_goals
b'Carlos Luna',TIG,11.0,12.0,756.0,1129.0,23.0,23.0,12.0,11.0,1.3095238095238095,1.4285714285714286,0.9565987599645704,0.8768821966341895
b'Elicarlos',Figueirense,4.0,2.0,106.0,95.0,5.0,5.0,1.0,3.0,3.3962264150943398,1.6981132075471699,0.9473684210526315,2.8421052631578947
b'Gonzalo Pr?speri',SL,11.0,16.0,894.0,1933.0,41.0,34.0,30.0,18.0,1.1073825503355705,1.610738255033557,1.396792550439731,0.8380755302638386
b'Freddy Ara?jo',U. Católica,0.0,0.0,19.0,169.0,1.0,2.0,1.0,2.0,0.0,0.0,0.5325443786982249,1.0650887573964498
b'Gabriel Vargas',CAP,0.0,1.0,37.0,1860.0,20.0,28.0,20.0,27.0,0.0,2.4324324324324325,0.967741935483871,1.3064516129032258
b'Dami?n Ledesma',ALDO,8.0,11.0,579.0,1317.0,20.0,32.0,12.0,21.0,1.2435233160621761,1.7098445595854923,0.8200455580865603,1.4350797266514805
b'Leonardo Ponzio',CARP,31.0,28.0,1884.0,758.0,46.0,33.0,15.0,5.0,1.480891719745223,1.3375796178343948,1.7810026385224274,0.5936675461741425
b'Pablo Escobar',Strongest,6.0,11.0,564.0,7.0,6.0,11.0,0.0,0.0,0.9574468085106383,1.7553191489361701,0.0,0.0
b'Jos? Aquino',Luqueño,1.0,4.0,282.0,94.0,3.0,4.0,2.0,0.0,0.3191489361702128,1.2765957446808511,1.9148936170212767,0.0
b'Mat?as Catal?n',RAF,3.0,14.0,585.0,1207.0,16.0,32.0,13.0,18.0,0.46153846153846156,2.1538461538461537,0.9693454846727423,1.3421706710853356
b'Alejandro Barbaro',Nacional,0.0,0.0,19.0,925.0,10.0,10.0,10.0,10.0,0.0,0.0,0.972972972972973,0.972972972972973
b'Rodrigo De Paul',RAC,17.0,16.0,796.0,1931.0,49.0,37.0,32.0,21.0,1.9221105527638191,1.8090452261306533,1.4914552045572242,0.9787674779906784
b'Jorge N??ez',Luqueño,3.0,4.0,302.0,74.0,3.0,4.0,0.0,0.0,0.8940397350993378,1.1920529801324504,0.0,0.0
b'Germ?n Gait?n',BEL,0.0,2.0,72.0,2093.0,25.0,29.0,25.0,27.0,0.0,2.5,1.075011944577162,1.161012900143335
b'Giovanni Nazareno',Emelec,4.0,7.0,157.0,788.0,18.0,19.0,14.0,12.0,2.2929936305732483,4.012738853503185,1.598984771573604,1.3705583756345177
b'Segundo Portocarrero',Emelec,4.0,4.0,136.0,809.0,18.0,19.0,14.0,15.0,2.6470588235294117,2.6470588235294117,1.557478368355995,1.6687268232385661
b'Gonzalo Martinez',CARP,32.0,22.0,1371.0,1271.0,46.0,33.0,14.0,11.0,2.1006564551422318,1.4442013129102844,0.991345397324941,0.7789142407553108
b'Edemir Rodriguez',Bolívar,5.0,6.0,299.0,641.0,14.0,14.0,9.0,8.0,1.5050167224080269,1.806020066889632,1.2636505460218408,1.1232449297971918
b'Jose Marrufo',Dep Táchira,0.0,4.0,91.0,660.0,7.0,13.0,7.0,9.0,0.0,3.956043956043956,0.9545454545454546,1.2272727272727273
b'Mauricio Casierra',SMSJ,25.0,25.0,1811.0,0.0,25.0,25.0,0.0,0.0,1.2424075096631695,1.2424075096631695,0.0,0.0
b'Jorge Arias',DIM,5.0,2.0,282.0,188.0,7.0,3.0,2.0,1.0,1.5957446808510638,0.6382978723404256,0.9574468085106383,0.4787234042553192
b'Joao Ortiz',U. de Chile,0.0,0.0,27.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b'Enrique Triverio',TOL,10.0,4.0,455.0,485.0,12.0,11.0,2.0,7.0,1.978021978021978,0.7912087912087912,0.3711340206185567,1.2989690721649485
