;NPG;Dribbles Success;Throughballs;Assists;Key Passes;Long Balls;Passing %;Int;Tackles;Dispossessed;Aerial Won %;Dribbles Past;Fouls
Musto;0.083643123;0.501858736;0.083643123;0;0.752788104;3.596654275;81.51595745;2.007434944;3.178438662;1.087360595;56.52173913;0.920074349;2.342007435
Poblete;0.071428571;0.928571429;0.071428571;0;0.428571429;1.785714286;85.25;1.285714286;3.428571429;1.571428571;45.45454545;1.428571429;1.214285714
Ascacibar;0;1.344238976;0.12802276;0;0.576102418;1.536273115;85.35980149;3.520625889;4.864864865;0.960170697;46.15384615;1.344238976;1.408250356
Rossi;0;0.669500531;0;0;0.191285866;3.347502657;82.36514523;2.582359192;4.686503719;1.530286929;50;1.817215728;2.869287991
Mercier;0;0.255681818;0.127840909;0;0.383522727;3.579545455;75.86206897;2.556818182;3.579545455;0.639204545;44.44444444;2.045454545;0.894886364
Mussis;0.141509434;1.41509434;0.141509434;0.141509434;0.70754717;3.113207547;83.29355609;2.830188679;2.122641509;1.839622642;21.42857143;2.122641509;3.113207547
Martinez;0.126404494;1.200842697;0;0;0.379213483;3.16011236;79.07647908;1.896067416;2.212078652;1.200842697;51.42857143;1.200842697;1.137640449
Rinaudo;0;1.363636364;0;0;0.363636364;1.909090909;73.91304348;3.272727273;3.909090909;0.727272727;61.9047619;1;4.181818182
J. Blanco;0;0.417310665;0;0;0.417310665;2.225656878;71.70418006;1.112828439;5.42503864;1.947449768;57.14285714;1.669242658;2.782071097
Cubas;0;0.594713656;0;0;0.396475771;2.973568282;86.5625;2.775330396;4.559471366;1.189427313;50;0.792951542;1.982378855
Ponzio;0;0.958296362;0;0.07985803;0.479148181;5.350488021;75;2.475598935;5.270629991;0.878438332;68.42105263;1.118012422;1.836734694
Mussis 2;0;0.753138075;0;0;0;2.635983264;83.82352941;3.389121339;5.648535565;1.882845188;66.66666667;1.882845188;2.259414226
