;Long Balls;Passing %;Int;Tackles;Dispossessed;Aerial Won %;Fouls
Musto;3.596654275;81.51595745;2.007434944;3.178438662;1.087360595;56.52173913;2.342007435
Poblete;1.785714286;85.25;1.285714286;3.428571429;1.571428571;45.45454545;1.214285714
Ascacibar;1.536273115;85.35980149;3.520625889;4.864864865;0.960170697;46.15384615;1.408250356
Rossi;3.347502657;82.36514523;2.582359192;4.686503719;1.530286929;50;2.869287991
Mercier;3.579545455;75.86206897;2.556818182;3.579545455;0.639204545;44.44444444;0.894886364
Martinez;3.16011236;79.07647908;1.896067416;2.212078652;1.200842697;51.42857143;1.137640449
Rinaudo;1.909090909;73.91304348;3.272727273;3.909090909;0.727272727;61.9047619;4.181818182
J. Blanco;2.225656878;71.70418006;1.112828439;5.42503864;1.947449768;57.14285714;2.782071097
Cubas;2.973568282;86.5625;2.775330396;4.559471366;1.189427313;50;1.982378855
Ponzio;5.350488021;75;2.475598935;5.270629991;0.878438332;68.42105263;1.836734694
Mussis 2;2.078152753;84.45595855;2.877442274;5.115452931;1.918294849;55.55555556;2.557726465
Mussis;3.113207547;83.29355609;2.830188679;2.122641509;1.839622642;21.42857143;3.113207547
