;npg;shots;shooting;drib_succ;throughballs;cros;assists;kp;passing;int_tack;disp;aerial;goal_conv
Chavez;0.583153348;1.943844492;30;0.388768898;0.194384449;0.388768898;0;0.777537797;59.09090909;0.777537797;0.388768898;27.77777778;100
Carrizo;0.188679245;1.886792453;40;0.754716981;0;0.754716981;0.188679245;0.943396226;74.58563536;1.509433962;0.754716981;44.44444444;25
Messidoro;0.249307479;1.994459834;25;0.747922438;0;0.498614958;0;1.495844875;72.83236994;2.742382271;1.745152355;25;50
Palacios;0.088669951;1.862068966;38.0952381;1.507389163;0;0.354679803;0.088669951;0.709359606;71.875;1.330049261;2.571428571;14.28571429;12.5
Perez;0;0.886699507;33.33333333;0.591133005;0.147783251;0;0.147783251;0.886699507;77.25490196;3.990147783;1.477832512;33.33333333;0
Zuqui;0.205949657;1.235697941;33.33333333;1.922196796;0.068649886;0.61784897;0.068649886;0.61784897;77.47572816;2.471395881;2.608695652;31.57894737;50
Bou;0.579044118;2.647058824;46.875;0.579044118;0.082720588;0.248161765;0;1.075367647;72.5;1.158088235;1.737132353;18.18181818;46.66666667
Simeone;0.351288056;3.161592506;46.66666667;1.826697892;0.070257611;0.351288056;0;0.843091335;71.79487179;2.037470726;1.967213115;31.66666667;23.80952381
Janson;0.479573712;3.197158082;37.5;2.957371226;0.079928952;0.159857904;0.319715808;1.438721137;71.46974063;1.918294849;1.918294849;37.73584906;40
Fernandez;0.36;4.2;25.71428571;1.32;0.24;0.72;0.24;2.16;63.93442623;2.16;2.4;47.05882353;33.33333333
Denning;0.415384615;2.976923077;44.18604651;2.215384615;0;0.346153846;0.069230769;0.761538462;75.2;1.938461538;3.461538462;27.02702703;31.57894737
Abila;0.757459832;2.960979342;44.18604651;1.03289977;0.068859985;0;0.068859985;1.239479725;65.42056075;0.137719969;1.583779648;23.33333333;57.89473684
Isnaldo;0.102505695;2.255125285;40.90909091;1.9476082;0;0.717539863;0.20501139;0.922551253;76.89530686;1.127562642;2.562642369;35.71428571;11.11111111
Rosales;0.127028934;2.413549753;34.21052632;2.794636556;0.063514467;0.254057869;0.317572336;0.952717008;59.52380952;2.47706422;2.095977417;48.97959184;15.38461538
Mouche;0.101580135;1.11738149;27.27272727;0.609480813;0;1.320541761;0.101580135;1.11738149;78.7456446;1.11738149;1.625282167;47.05882353;33.33333333
Alvarenga;0.258249641;0.903873745;42.85714286;2.195121951;0;1.549497848;0.129124821;1.162123386;74.50980392;1.93687231;2.453371593;33.33333333;66.66666667
Toledo;0.081521739;1.304347826;50;3.179347826;0;0.489130435;0.326086957;0.815217391;80;1.793478261;2.119565217;0;12.5
Estevenaux;0.351906158;2.19941349;36;0.439882698;0;3.079178886;0.175953079;2.023460411;67.98561151;3.079178886;1.055718475;7.692307692;44.44444444
Musto;0.083643123;0.585501859;42.85714286;0.501858736;0.083643123;0.167286245;0;0.752788104;81.51595745;5.185873606;1.087360595;56.52173913;33.33333333
Poblete;0.071428571;0.571428571;25;0.928571429;0.071428571;0.071428571;0;0.428571429;85.25;4.714285714;1.571428571;45.45454545;50
Sills;0;0.650154799;0;0.650154799;0;0.092879257;0;0.835913313;76.50862069;4.551083591;1.207430341;50;0
Ascacibar;0;0.256045519;25;1.344238976;0.12802276;0.06401138;0;0.576102418;85.35980149;8.385490754;0.960170697;46.15384615;0
Rossi;0;0.573857598;16.66666667;0.669500531;0;0;0;0.191285866;82.36514523;7.268862912;1.530286929;50;0
Ortigoza;0;0.249537893;66.66666667;0.914972274;0;0.166358595;0;0.415896488;83.66834171;2.578558226;1.580406654;29.41176471;0
Mercier;0;0.383522727;0;0.255681818;0.127840909;0;0;0.383522727;75.86206897;6.136363636;0.639204545;44.44444444;0
Mussis;0.141509434;1.556603774;18.18181818;1.41509434;0.141509434;0.141509434;0.141509434;0.70754717;83.29355609;4.952830189;1.839622642;21.42857143;50
Blanco;0.208092486;2.289017341;36.36363636;1.040462428;0;1.040462428;0.104046243;1.768786127;74.22969188;3.01734104;1.976878613;54.54545455;25
Cerutti;0.078534031;1.64921466;33.33333333;1.492146597;0;1.178010471;0.235602094;1.570680628;72.57142857;0.785340314;1.963350785;27.27272727;14.28571429
Barrientos;0.165137615;1.981651376;33.33333333;0.990825688;0;1.651376147;0;1.816513761;77.88778878;3.633027523;2.80733945;41.66666667;25
Martinez;0.126404494;1.896067416;30;1.200842697;0;0.316011236;0;0.379213483;79.07647908;4.108146067;1.200842697;51.42857143;22.22222222
Meli;0;1.6;50;0.6;0.2;0;0.2;1.4;76;2.4;1.4;55.6;0
Belluschi;0.17;2.42;25;1.56;0.09;2.25;0.35;3.03;76.58;3.98;2.33;39.39;28.57
Almiron;0.229007634;1.603053435;35.71428571;1.259541985;0.114503817;0.34351145;0.229007634;1.603053435;85.46637744;4.694656489;1.488549618;12.5;40
Stelcaldo;0.559006211;1.677018634;33.33333333;2.51552795;0;1.118012422;0.279503106;1.118012422;80;0.838509317;2.236024845;18.18181818;100
Blandi;0.750782065;2.252346194;45.83333333;0.375391032;0;0.093847758;0.187695516;0.656934307;70.32967033;1.407716371;1.783107404;40.47619048;72.72727273
Cauteruccio;0.309810671;2.47848537;37.5;0.929432014;0;0.154905336;0;0.929432014;74.80916031;0.774526678;2.788296041;33.33333333;33.33333333
Matos;0.229007634;2.061068702;33.33333333;0.229007634;0;0.229007634;0;0.916030534;54.92957746;0.916030534;2.061068702;67.85714286;33.33333333
