home_name,away_name,home_goals,away_goals,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal
SL,OBB,2,1,6,4,2,3
RAC,SL,0,3,8,7,2,5
SL,ARGJ,0,3,13,10,5,5
QUI,SL,3,2,10,10,6,6
SL,CARP,1,0,13,3,7,2
ROS,SL,0,2,11,9,5,6
SL,GCM,0,0,7,6,0,3
COL,SL,0,2,9,13,6,8
SL,GLP,3,0,14,8,7,3
SL,TIG,0,0,15,9,3,6
ARS,SL,2,1,14,8,6,5
SL,ALLB,3,0,10,10,5,1
LAN,SL,3,2,9,16,6,9
SL,CABJ,1,0,24,14,9,5
NOB,SL,1,1,12,27,7,15
SL,BEL,4,2,21,18,11,9
RAF,SL,2,2,16,23,8,11
SL,EST,0,0,17,10,4,3
VEL,SL,0,0,12,11,7,2
