home_fouls,away_fouls
9,13
12,10
6,18
9,7
8,8
7,7
9,8
13,8
5,7
21,14
7,12
4,7
11,17
6,9
8,3
9,12
3,14
2,4
12,10
8,9
15,12
6,14
10,15
3,7
7,6
7,10
10,11
16,14
11,19
9,13
20,16
11,7
11,12
15,10
12,12
11,5
8,10
13,14
11,9
15,15
9,18
11,11
8,11
5,16
13,5
10,12
3,13
14,12
10,9
14,14
5,5
19,11
8,12
9,14
3,12
12,10
12,15
4,6
5,10
14,7
6,2
9,12
11,17
5,5
8,12
6,9
12,12
7,10
12,18
18,8
5,4
9,8
7,11
12,12
14,13
13,10
8,4
4,4
11,8
10,9
4,7
4,9
4,6
8,7
14,17
7,20
7,6
13,16
9,14
8,4
6,12
10,15
11,11
4,6
1,7
9,8
6,8
3,8
5,5
10,7
9,13
10,11
5,2
5,6
8,8
12,14
6,8
3,6
15,8
7,8
8,8
10,15
11,7
8,9
17,13
10,14
12,14
11,9
10,11
9,11
16,13
10,4
12,10
4,12
8,9
3,7
17,18
9,6
3,5
9,11
6,12
10,8
12,14
15,17
7,6
10,5
10,11
10,15
15,19
10,5
11,7
15,16
5,4
4,4
7,0
8,6
8,6
15,14
10,13
12,20
11,12
5,5
11,10
10,4
8,10
16,10
8,11
9,10
12,15
8,13
9,12
15,7
8,9
8,10
12,10
8,8
7,17
11,13
3,4
4,7
12,19
7,9
7,9
11,9
12,14
13,10
8,3
8,11
12,8
13,14
