home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
EST,ARS,1,0,0,0,20,13,6,3,42,57,2,3,0,0
VEL,TIG,0,0,0,0,11,15,3,4,57,43,4,1,0,0
OBB,SL,2,0,0,0,9,6,4,0,38,61,3,3,0,1
ARGJ,GCM,2,1,0,0,10,17,7,4,34,65,4,3,1,1
RAF,ALLB,1,1,0,0,12,11,5,7,58,41,2,4,0,0
RAC,COL,3,0,0,0,10,19,5,5,59,40,2,2,0,0
QUI,ROS,0,1,0,0,9,14,0,5,50,49,4,3,0,0
NOB,CABJ,0,0,0,0,6,13,2,4,65,34,2,1,0,0
CARP,GLP,1,0,0,0,26,5,4,1,64,35,1,1,0,0
BEL,LAN,2,2,1,0,6,16,5,7,40,59,4,2,0,0
GCM,QUI,2,0,0,0,25,8,8,3,73,26,0,3,0,1
ALLB,EST,0,1,0,0,10,12,4,3,52,47,0,4,0,1
ARS,VEL,1,3,0,0,17,14,3,3,43,56,2,1,1,0
TIG,OBB,0,0,0,0,14,6,1,1,57,42,2,5,0,1
SL,RAC,1,0,0,0,15,11,3,4,49,50,1,2,0,0
COL,ARGJ,1,0,0,0,14,8,4,0,38,61,4,2,0,0
GLP,NOB,3,0,1,0,18,11,5,2,27,72,1,5,0,0
LAN,RAF,0,3,0,0,8,9,3,4,65,35,2,2,0,0
ROS,CARP,1,1,0,0,8,11,2,4,38,61,1,3,1,0
CABJ,BEL,2,3,0,1,11,10,5,6,64,35,3,2,0,0
OBB,ARS,0,2,0,0,14,10,3,2,57,43,2,6,0,0
VEL,ALLB,3,0,0,0,23,8,6,2,66,33,1,2,0,0
RAC,TIG,0,1,0,0,20,8,4,2,60,39,2,2,1,0
QUI,COL,0,2,0,0,17,8,2,3,67,32,2,1,0,0
ARGJ,SL,0,2,0,0,12,11,0,4,61,38,0,2,0,0
EST,LAN,2,1,1,0,5,17,4,7,33,66,2,4,1,0
CARP,GCM,1,2,0,0,12,9,6,5,55,45,3,5,1,0
BEL,NOB,1,1,0,1,5,13,0,2,28,71,3,1,0,0
ROS,GLP,3,1,0,0,17,13,8,7,54,45,1,2,0,0
RAF,CABJ,1,0,0,0,13,17,6,3,37,62,3,2,0,0
LAN,VEL,3,2,0,0,13,19,6,10,35,64,1,2,0,0
ALLB,OBB,1,0,0,0,5,6,1,2,38,61,5,4,0,0
ARS,RAC,3,1,0,1,15,15,4,2,43,56,1,5,0,0
NOB,RAF,4,1,0,1,13,10,5,5,69,30,3,1,0,0
SL,QUI,1,0,0,0,16,9,4,5,57,42,2,3,0,0
CABJ,EST,1,0,0,0,12,10,6,2,52,48,3,0,0,0
COL,CARP,3,1,0,0,5,13,4,1,22,77,2,2,0,0
GCM,ROS,3,0,0,0,14,7,6,1,59,40,2,2,0,0
TIG,ARGJ,0,0,0,0,11,6,1,2,52,47,1,4,0,0
GLP,BEL,2,2,1,0,14,11,6,6,49,50,2,1,0,0
GCM,GLP,0,2,0,0,7,11,1,2,65,34,1,3,1,0
RAC,ALLB,1,1,0,0,14,12,2,1,47,52,1,5,0,0
VEL,CABJ,1,0,0,0,20,19,4,5,54,45,3,1,0,0
RAF,BEL,1,2,0,0,8,19,2,7,58,41,0,0,0,0
ARGJ,ARS,2,0,0,0,10,11,3,1,53,46,2,2,0,0
ROS,COL,0,1,0,0,19,3,3,1,75,24,3,3,0,0
OBB,LAN,2,0,0,0,5,10,2,1,29,70,3,4,1,0
QUI,TIG,1,0,0,0,16,5,4,0,44,56,4,1,0,0
CARP,SL,1,0,0,0,12,9,3,2,61,38,2,3,0,1
EST,NOB,0,0,0,0,23,9,6,2,45,54,1,1,0,0
COL,GCM,1,1,0,0,6,8,3,2,32,67,2,2,0,0
GLP,RAF,1,1,0,0,12,12,4,4,51,48,3,4,0,0
ALLB,ARGJ,0,0,0,0,12,11,2,1,55,45,2,2,0,0
BEL,EST,1,1,1,0,9,11,2,4,50,49,2,2,0,0
