home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
CABJ,VEL,1,0,0,0,11,7,5,0,59,41,2,2,1,2
VEL,ALDO,2,0,0,0,15,19,4,5,48,52,2,6,1,0
RAC,ROS,0,1,0,0,11,11,3,4,64,36,5,4,0,0
GLP,DYJ,0,1,0,0,16,8,4,3,49,51,2,3,0,0
SL,COL,2,0,0,0,15,8,8,0,63,37,0,1,0,0
GCM,SMSJ,1,1,1,0,10,8,4,1,39,61,4,1,0,0
NOB,IND,2,3,1,1,13,10,6,4,63,37,1,4,1,0
BAN,TEMP,0,1,0,0,22,6,7,4,73,27,3,4,0,2
CRU,TIG,0,0,0,0,19,9,2,2,52,48,2,2,0,0
QUI,LAN,0,1,0,0,7,13,1,2,47,53,2,3,0,0
USF,HUR,1,0,0,0,16,2,5,0,58,42,1,1,0,0
CABJ,OBB,3,1,1,0,12,7,6,2,73,27,0,4,0,0
ARGJ,RAF,2,0,0,0,8,6,5,2,48,52,1,1,0,0
