home_name,away_name,home_goals,away_goals,home_penalties,away_penalties,home_totalshots,away_totalshots,home_shotsgoal,away_shotsgoal,home_possession,away_possesion,home_yellow,away_yellow,home_red,away_red
TIG,CARP,0,0,0,0,16,16,3,2,36,64,0,0,0,0
ARS,GLP,0,1,0,0,13,7,3,4,45,55,2,2,0,0
EST,SMSJ,0,0,0,0,16,6,0,2,64,36,1,3,0,0
BEL,ARGJ,2,1,0,0,18,4,6,1,50,50,2,2,0,0
CARP,TEMP,1,1,0,0,9,10,4,3,71,29,0,2,0,0
QUI,BAN,0,1,0,0,16,11,5,3,53,47,2,3,0,0
USF,SL,1,1,0,0,20,9,7,3,50,50,3,2,0,0
HUR,DYJ,0,0,0,0,9,16,2,6,50,50,2,2,0,0
LAN,RAF,3,0,1,0,12,4,6,1,61,39,0,1,0,0
NCHI,COL,0,0,0,0,7,12,0,3,37,63,3,2,0,1
IND,OBB,3,1,0,0,15,6,8,2,62,38,1,2,0,0
NOB,RAC,3,0,0,0,19,7,12,2,53,47,2,1,0,0
GCM,CRU,3,0,0,0,16,7,5,5,56,44,2,3,0,0
SARM,CABJ,0,1,0,0,11,14,2,4,44,56,3,3,0,0
ALDO,ROS,1,3,1,1,13,12,3,5,49,51,4,4,0,0
VEL,TIG,2,2,1,0,13,9,4,3,69,31,2,3,0,1
SL,ARS,3,0,0,0,13,5,7,2,61,39,1,1,0,0
BAN,BEL,1,2,1,1,15,16,6,8,48,52,2,3,0,0
OBB,ALDO,3,1,0,0,13,14,6,4,50,50,5,1,0,0
CABJ,QUI,2,1,0,0,15,4,6,2,63,37,2,6,0,0
DYJ,NCHI,2,1,0,0,16,9,10,2,56,44,3,1,0,0
RAF,CARP,1,5,0,0,16,10,7,5,45,55,3,2,0,0
RAC,SARM,2,1,0,0,11,11,4,4,50,50,1,3,0,0
COL,LAN,1,2,0,0,14,12,6,6,52,48,2,4,0,0
SMSJ,HUR,3,2,0,0,13,12,5,4,62,38,1,1,0,0
TIG,NOB,0,0,0,0,7,9,1,4,35,65,0,3,0,1
ROS,VEL,0,0,0,0,11,4,5,0,64,36,2,4,0,1
TEMP,IND,0,1,0,0,3,13,0,4,51,49,1,1,0,0
GLP,GCM,2,0,0,0,12,14,6,6,43,57,3,2,0,1
CRU,EST,1,2,0,0,10,19,3,5,39,61,3,2,0,0
ARGJ,USF,1,2,0,0,12,14,3,6,63,37,1,2,1,1
ALDO,TEMP,0,0,0,0,9,10,2,3,51,49,2,2,0,0
GLP,CRU,2,1,0,0,26,11,9,3,55,45,2,5,0,0
SARM,TIG,0,1,0,0,10,6,1,2,61,39,1,3,0,0
CARP,COL,3,1,0,0,21,11,11,3,62,38,0,3,0,0
USF,BAN,0,0,0,0,13,14,4,2,45,55,2,2,0,0
IND,RAF,2,0,0,0,9,11,7,2,53,47,2,3,0,0
VEL,OBB,0,2,0,0,8,11,3,6,64,36,0,3,0,0
GCM,SL,1,1,1,0,15,9,3,4,63,37,1,3,0,2
NOB,ROS,0,1,0,0,9,21,1,6,61,39,3,2,0,0
QUI,RAC,2,1,1,0,15,10,5,4,51,49,3,4,0,0
HUR,EST,1,0,0,0,10,11,5,2,34,66,4,4,0,1
LAN,DYJ,0,1,0,0,13,13,4,4,60,40,2,4,0,0
BEL,CABJ,0,1,0,0,17,5,2,2,46,54,3,3,0,2
NCHI,SMSJ,0,0,1,0,14,10,8,2,51,49,2,1,0,1
