home_fouls,away_fouls
9,13
12,10
6,18
9,7
8,8
7,7
9,8
13,8
5,7
21,14
7,12
4,7
11,17
6,9
8,3
9,12
3,14
2,4
12,10
8,9
15,12
6,14
10,15
3,7
7,6
7,10
10,11
16,14
11,19
9,13
20,16
11,7
11,12
15,10
12,12
11,5
8,10
13,14
11,9
15,15
9,18
11,11
8,11
5,16
13,5
10,12
3,13
14,12
10,9
14,14
5,5
19,11
8,12
9,14
3,12
12,10
12,15
4,6
5,10
14,7
6,2
9,12
11,17
5,5
8,12
6,9
12,12
7,10
12,18
18,8
5,4
9,8
7,11
12,12
14,13
13,10
8,4
4,4
11,8
10,9
4,7
4,9
4,6
8,7
14,17
7,20
7,6
13,16
9,14
8,4
6,12
10,15
11,11
4,6
1,7
9,8
6,8
3,8
5,5
10,7
9,13
10,11
5,2
5,6
8,8
12,14
6,8
3,6
15,8
7,8
8,8
10,15
11,7
8,9
17,13
10,14
12,14
11,9
10,11
9,11
16,13
10,4
12,10
4,12
8,9
3,7
17,18
9,6
3,5
9,11
6,12
10,8
12,14
15,17
7,6
10,5
10,11
10,15
15,19
10,5
11,7
15,16
5,4
4,4
7,0
8,6
8,6
15,14
10,13
12,20
11,12
5,5
11,10
10,4
8,10
16,10
8,11
9,10
12,15
8,13
9,12
15,7
8,9
8,10
12,10
8,8
10,11
9,7
3,6
7,17
11,13
9,13
11,5
3,4
4,7
12,19
7,9
7,9
11,9
12,14
13,10
8,3
8,11
3,5
12,8
12,15
13,14
16,12
15,12
20,10
11,10
10,6
19,22
10,11
6,3
14,18
12,9
6,3
15,11
15,14
12,11
12,14
9,6
16,7
9,11
13,8
6,14
19,14
9,11
13,11
7,8
18,15
12,12
9,6
11,8
14,23
17,17
18,15
10,10
13,16
12,8
15,4
15,14
9,6
9,14
11,11
7,11
4,14
20,13
5,12
4,6
8,9
19,11
16,17
14,28
22,11
11,3
12,10
13,17
8,11
6,5
17,13
9,19
16,14
10,12
14,14
9,9
18,10
16,15
12,11
9,16
10,19
10,17
14,13
9,19
6,10
19,12
11,14
15,11
12,15
6,9
14,9
12,12
20,14
13,10
12,10
17,23
17,16
12,12
11,14
3,11
5,3
8,6
9,10
14,14
10,18
11,10
10,11
14,12
13,8
6,10
14,12
17,16
6,14
13,10
5,10
17,8
9,12
12,14
18,16
14,11
11,23
7,11
14,14
10,11
16,14
11,19
11,10
7,8
18,16
15,12
10,17
4,10
12,11
12,8
2,1
18,18
14,20
12,18
10,10
13,15
12,9
11,19
8,18
11,10
15,17
12,10
16,18
4,9
17,15
15,12
8,18
14,16
8,6
24,19
17,12
9,10
14,11
8,6
10,7
18,14
11,10
16,17
10,13
6,16
16,17
12,13
13,9
8,8
7,15
11,11
8,10
9,14
12,20
18,12
3,10
11,3
13,15
19,13
11,10
21,15
8,7
14,17
16,11
18,14
16,12
16,11
5,14
14,11
13,12
12,7
11,15
11,8
18,11
15,13
11,14
18,18
8,11
19,12
10,13
17,11
14,6
9,9
9,13
12,9
13,20
11,13
12,16
9,19
9,8
8,5
16,9
14,12
15,10
12,16
17,19
15,15
9,18
12,12
17,18
13,9
8,6
10,12
16,18
12,11
18,10
13,10
9,8
16,10
16,10
10,8
9,11
9,18
12,15
19,16
18,17
18,10
11,22
12,13
13,12
11,12
10,13
20,12
16,17
11,12
17,11
12,7
14,16
14,17
13,23
19,20
7,18
14,18
18,17
16,19
5,14
6,6
18,19
10,14
17,14
17,13
17,19
17,18
20,20
12,10
13,21
8,10
10,13
10,19
15,12
18,17
11,14
19,14
15,10
13,12
14,18
11,12
21,17
8,13
16,14
13,15
13,11
16,16
16,21
21,21
14,11
20,24
12,12
5,16
12,7
6,19
18,15
19,11
14,18
16,17
12,15
13,13
8,18
14,7
10,14
17,16
6,19
7,16
11,10
8,16
13,12
12,8
14,9
11,11
8,13
12,14
10,11
20,11
13,20
15,14
17,9
8,20
13,13
23,10
14,15
13,7
12,14
16,14
9,12
13,14
15,14
17,13
9,10
10,10
17,9
13,12
13,8
16,14
13,9
14,14
14,6
15,7
18,12
11,13
18,15
9,14
11,14
8,10
10,13
10,16
6,13
8,12
13,8
16,11
10,9
8,18
12,9
21,20
7,13
17,18
12,11
16,14
13,13
10,17
15,16
11,9
14,5
13,13
12,16
17,13
10,8
16,13
12,8
15,10
9,12
17,24
13,10
13,12
14,14
12,13
12,12
12,12
14,16
11,13
6,9
15,16
9,12
13,22
17,10
