home_score,away_score,two_zero_halftime,home_team,away_team
2,3,away,NOB,IND
3,1,home,BEL,NCHI
1,4,away,RAF,BAN
2,1,home,RAC,TEMP
2,2,home,CARP,USF
4,1,home,RAC,COL
2,1,home,CABJ,DYJ
4,0,home,IND,ARS
3,3,away,ALDO,USF
0,4,away,QUI,SARM
1,0,home,CRU,TEMP
2,0,home,RAC,SMSJ
3,0,home,CABJ,EST
2,3,away,GLP,CARP
3,1,home,QUI,CRU
2,0,home,NOB,USF
2,1,home,TEMP,COL
2,1,home,RAF,DYJ
5,2,home,USF,CRU
0,3,away,ALDO,BAN
1,2,away,ALDO,RAC
5,2,home,GLP,USF
0,2,away,ARGJ,QUI
3,1,home,CRU,SMSJ
3,0,home,NOB,RAC
3,0,home,GCM,CRU
1,3,away,ALDO,ROS
1,5,away,RAF,CARP
2,1,home,RAC,SARM
3,2,away,SMSJ,HUR
1,2,away,GCM,BAN
1,2,away,USF,RAC
2,3,away,ARGJ,SL
2,1,home,TIG,USF
2,0,home,ALDO,SMSJ
1,3,away,GCM,ROS
2,1,home,BAN,CRU
2,3,home,RAF,USF
3,1,home,NCHI,ALDO
4,0,home,ROS,GLP
0,2,away,EST,NOB
1,2,away,GCM,RAC
3,0,home,IND,CARP
5,0,home,NCHI,NOB
3,1,home,COL,ARS
3,1,home,TIG,BAN
1,3,away,TEMP,GLP
2,0,home,EST,USF
0,2,away,IND,RAC
