home_score,away_score,two_zero,home_team,away_team
1,1,away,IND,TIG
3,2,away,CABJ,QUI
3,0,home,RAF,RAC
1,2,away,BEL,CARP
4,0,home,LAN,COL
2,0,home,RAC,ARGJ
2,1,home,QUI,ALLB
1,2,away,ARGJ,ARS
0,3,away,USF,QUI
2,0,home,ALLB,CABJ
1,2,away,RAF,GCM
2,0,home,IND,RAC
2,0,home,NOB,BEL
3,3,away,COL,EST
1,3,away,CABJ,USF
3,0,home,VEL,SMSJ
0,3,away,SMSJ,RAC
2,1,home,CARP,COL
2,1,home,LAN,ARS
1,3,away,ARGJ,QUI
1,2,away,TIG,USF
3,2,home,ARS,SMSJ
2,1,home,ALLB,RAF
3,2,home,COL,TIG
2,2,away,LAN,QUI
2,0,home,ALLB,IND
0,2,away,RAC,CARP
1,2,away,NOB,COL
6,1,home,SMSJ,CABJ
3,0,home,BEL,QUI
2,0,home,RAF,IND
4,3,home,NOB,RAC
3,0,home,GCM,COL
1,2,away,ARGJ,LAN
0,2,away,TIG,IND
2,0,home,ARS,NOB
3,0,home,SL,CABJ
2,2,home,VEL,ARS
2,0,home,RAC,TIG
2,1,home,SMSJ,ARGJ
0,3,away,COL,QUI
2,0,home,CARP,ALLB
0,2,away,RAF,EST
3,1,home,GCM,VEL
3,1,home,IND,SMSJ
2,2,home,USF,CARP
0,3,away,ALLB,SL
2,0,home,COL,ALLB
2,0,home,VEL,QUI
4,0,home,NOB,CABJ
4,2,home,SL,USF
2,0,home,ARGJ,CARP
1,3,away,TIG,SMSJ
2,1,home,ALLB,NOB
0,2,away,BEL,SMSJ
2,1,home,CARP,IND
5,0,home,NOB,USF
2,0,home,SMSJ,EST
2,0,home,EST,LAN
3,0,home,RAC,USF
3,1,home,CARP,SMSJ
4,0,home,ARS,ALLB
2,2,away,SL,LAN
3,1,home,GCM,ARGJ
3,0,home,LAN,BEL
2,0,home,ROS,QUI
2,0,home,ARGJ,COL
0,3,away,RAC,SL
0,3,away,SL,ARGJ
3,1,home,TIG,RAC
0,2,away,RAF,NOB
0,2,away,RAC,ARS
1,2,away,CARP,COL
2,0,home,EST,CABJ
3,0,home,NOB,GLP
3,2,away,BEL,RAF
3,0,home,LAN,OBB
3,0,home,VEL,NOB
2,1,home,RAF,GLP
0,2,away,ROS,SL
3,0,home,CARP,TIG
3,0,home,OBB,CABJ
4,0,home,LAN,ARGJ
3,0,home,BEL,VEL
4,0,home,ALLB,QUI
2,0,home,TIG,ROS
2,0,home,CABJ,RAC
2,0,home,GCM,TIG
0,2,away,COL,SL
4,1,home,VEL,RAF
3,0,home,SL,GLP
2,0,home,RAF,OBB
2,0,home,NOB,ARGJ
3,0,home,BEL,RAC
2,0,home,CABJ,QUI
0,2,away,QUI,NOB
2,0,home,GCM,ALLB
0,3,away,COL,LAN
3,0,home,SL,ALLB
2,0,home,VEL,ARGJ
2,0,home,CABJ,COL
2,2,home,COL,NOB
4,0,home,ARGJ,OBB
3,2,away,ROS,RAF
1,3,away,GLP,RAC
2,3,away,TIG,LAN
3,1,home,RAF,GCM
2,0,home,BEL,COL
2,0,home,LAN,ARS
2,3,home,ALLB,LAN
2,3,away,ROS,VEL
3,2,home,ARS,CABJ
2,2,home,RAF,SL
0,2,away,CABJ,ALLB
0,2,away,COL,VEL
3,1,home,ALLB,NOB
2,0,home,RAC,GCM
0,2,away,EST,TIG
