home_score,away_score,two_zero_halftime,home_team,away_team
3,2,away,CABJ,QUI
3,0,home,RAF,RAC
4,0,home,LAN,COL
0,3,away,USF,QUI
1,2,away,RAF,GCM
3,3,away,COL,EST
1,3,away,CABJ,USF
3,0,home,VEL,SMSJ
2,1,home,CARP,COL
2,1,home,LAN,ARS
3,2,home,ARS,SMSJ
2,1,home,ALLB,RAF
3,2,home,COL,TIG
6,1,home,SMSJ,CABJ
3,0,home,BEL,QUI
4,3,home,NOB,RAC
3,0,home,GCM,COL
0,2,away,TIG,IND
2,0,home,ARS,NOB
3,0,home,SL,CABJ
3,1,home,IND,SMSJ
2,2,home,USF,CARP
4,2,home,SL,USF
1,3,away,TIG,SMSJ
5,0,home,NOB,USF
2,0,home,EST,LAN
3,1,home,CARP,SMSJ
4,0,home,ARS,ALLB
2,2,away,SL,LAN
3,2,away,BEL,RAF
4,1,home,VEL,RAF
2,0,home,CABJ,COL
4,0,home,ARGJ,OBB
1,3,away,GLP,RAC
3,1,home,RAF,GCM
2,3,home,ALLB,LAN
3,2,home,ARS,CABJ
3,1,home,ALLB,NOB
2,0,home,RAC,GCM
